country,co2_per_capita,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,gdp,cluster,cluster_label
Australia,11.736,5.115,94.885,5.115,242644629554.0,0,"Moderate CO₂, Fossil-heavy"
Australia,11.626,5.494,94.506,5.494,253439751826.0,0,"Moderate CO₂, Fossil-heavy"
Australia,11.544,5.283,94.717,5.283,260535644000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,12.586,5.274,94.726,5.274,274659478818.0,0,"Moderate CO₂, Fossil-heavy"
Australia,12.113,5.622,94.378,5.622,281474163714.0,0,"Moderate CO₂, Fossil-heavy"
Australia,12.459,5.946,94.054,5.946,289103008400.0,0,"Moderate CO₂, Fossil-heavy"
Australia,12.088,5.469,94.531,5.469,300755701500.0,0,"Moderate CO₂, Fossil-heavy"
Australia,12.808,4.973,95.027,4.973,303887958765.0,0,"Moderate CO₂, Fossil-heavy"
Australia,13.298,5.198,94.802,5.198,312728264226.0,0,"Moderate CO₂, Fossil-heavy"
Australia,13.233,4.874,95.126,4.874,329194298316.0,0,"Moderate CO₂, Fossil-heavy"
Australia,13.883,4.587,95.413,4.587,335756463773.0,0,"Moderate CO₂, Fossil-heavy"
Australia,14.302,4.651,95.349,4.651,348726734203.0,0,"Moderate CO₂, Fossil-heavy"
Australia,14.349,4.375,95.625,4.375,348301464000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,13.47,4.173,95.827,4.173,348353556000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,13.925,4.354,95.646,4.354,372379590000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,14.18,4.492,95.508,4.492,391229265000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,13.942,4.44,95.56,4.44,399344400000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,14.373,4.201,95.799,4.201,419094027000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,14.507,4.302,95.698,4.302,437912800000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,15.225,4.101,95.899,4.101,457176167000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.236,4.137,95.863,4.137,464136588000.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.103,4.394,95.606,4.394,461302112920.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.208,4.389,95.611,4.389,478633731062.0,0,"Moderate CO₂, Fossil-heavy"
